ICOLOR_DL_0_TL_0,0.725,0.725,0.6,0.85,0.6,0.65,0.625,0.5,0.65,0.775,0.75,0.65,0.75,0.675,0.575,0.7
ICOLOR_DL_0_TL_1,0.625,0.625,0.675,0.275,0.325,0.625,0.675,0.75,0.675,0.725,0.7,0.4,0.725,0.35,0.475,0.25
ICOLOR_DL_0_TL_2,0.575,0.55,0.5,0.525,0.6,0.65,0.625,0.6,0.675,0.6,0.65,0.65,0.7,0.725,0.825,0.7
ICOLOR_DL_0_TL_3,0.525,0.65,0.625,0.6,0.675,0.525,0.675,0.675,0.7,0.7,0.75,0.3,0.6,0.55,0.625,0.525
ICOLOR_DL_0_TL_4,0.65,0.65,0.8,0.6,0.8,0.75,0.8,0.8,0.725,0.8,0.775,0.575,0.85,0.85,0.775,0.775
ICOLOR_DL_1_TL_0,0.4,0.575,0.525,0.525,0.65,0.4,0.675,0.45,0.8,0.6,0.675,0.725,0.75,0.725,0.725,0.75
ICOLOR_DL_1_TL_1,0.55,0.6,0.55,0.575,0.525,0.6,0.6,0.525,0.475,0.675,0.575,0.55,0.45,0.65,0.625,0.675
ICOLOR_DL_1_TL_2,0.725,0.5,0.625,0.45,0.375,0.675,0.55,0.7,0.55,0.7,0.75,0.6,0.425,0.675,0.6,0.65
ICOLOR_DL_1_TL_3,0.65,0.75,0.7,0.575,0.65,0.7,0.725,0.725,0.675,0.425,0.5,0.725,0.575,0.675,0.775,0.45
ICOLOR_DL_1_TL_4,0.55,0.65,0.55,0.6,0.475,0.625,0.625,0.5,0.7,0.7,0.625,0.575,0.7,0.75,0.8,0.7
ICOLOR_DL_2_TL_0,0.525,0.6,0.5,0.375,0.625,0.575,0.5,0.475,0.35,0.675,0.55,0.45,0.7,0.65,0.675,0.5
ICOLOR_DL_2_TL_1,0.525,0.475,0.65,0.275,0.6,0.675,0.75,0.65,0.725,0.725,0.75,0.6,0.7,0.675,0.65,0.775
ICOLOR_DL_2_TL_2,0.475,0.55,0.5,0.425,0.5,0.75,0.35,0.35,0.6,0.7,0.675,0.65,0.7,0.8,0.725,0.575
ICOLOR_DL_2_TL_3,0.7,0.675,0.55,0.65,0.625,0.6,0.6,0.525,0.675,0.725,0.7,0.725,0.65,0.75,0.825,0.575
ICOLOR_DL_2_TL_4,0.575,0.6,0.575,0.55,0.575,0.575,0.7,0.4,0.675,0.675,0.725,0.5,0.8,0.675,0.675,0.7
ICOLOR_DL_3_TL_0,0.7,0.575,0.5,0.6,0.55,0.625,0.7,0.35,0.525,0.725,0.725,0.6,0.7,0.75,0.775,0.575
ICOLOR_DL_3_TL_1,0.65,0.75,0.65,0.65,0.6,0.55,0.725,0.675,0.725,0.825,0.75,0.7,0.7,0.75,0.775,0.775
ICOLOR_DL_3_TL_2,0.625,0.675,0.725,0.65,0.5,0.675,0.6,0.65,0.65,0.625,0.625,0.575,0.6,0.675,0.625,0.575
ICOLOR_DL_3_TL_3,0.7,0.725,0.675,0.6,0.675,0.6,0.725,0.325,0.475,0.575,0.75,0.6,0.55,0.825,0.75,0.725
ICOLOR_DL_3_TL_4,0.55,0.575,0.575,0.525,0.575,0.7,0.475,0.45,0.725,0.625,0.7,0.75,0.675,0.8,0.725,0.725
ICOLOR_DL_4_TL_0,0.725,0.65,0.475,0.675,0.55,0.725,0.6,0.45,0.675,0.625,0.75,0.575,0.625,0.7,0.725,0.675
ICOLOR_DL_4_TL_1,0.675,0.65,0.75,0.45,0.675,0.65,0.8,0.5,0.475,0.7,0.775,0.275,0.6,0.75,0.75,0.575
ICOLOR_DL_4_TL_2,0.625,0.65,0.65,0.5,0.65,0.475,0.625,0.6,0.575,0.45,0.775,0.6,0.675,0.725,0.75,0.45
ICOLOR_DL_4_TL_3,0.625,0.625,0.575,0.525,0.675,0.575,0.675,0.65,0.675,0.625,0.75,0.675,0.75,0.675,0.8,0.6
ICOLOR_DL_4_TL_4,0.65,0.625,0.8,0.525,0.65,0.725,0.8,0.85,0.625,0.775,0.725,0.675,0.85,0.7,0.75,0.7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AVERAGE:,0.612,0.627,0.612,0.542,0.588,0.627,0.648,0.565,0.631,0.67,0.699,0.588,0.672,0.701,0.711,0.627